,,12/6/2025,,,12/7/2025,,,12/8/2025,,,12/9/2025,,,12/10/2025,,,12/11/25,,,12/12/25,,,12/13/2025,,,12/14/2025,,,12/15/2025,,,12/16/2025,,
ITEMS,,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN
bar cheeze ,pack ,21,5,16,,2,14,,1,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13
Vanilla ,gal.,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
3x16 plastic ,pack,14,,14,,3,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11
Roll bag,pack,13,5,8,,5,3,15,3,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15,,,15
gelatin ,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
EVAP ,can,226,,226,,96,130,,,130,,,130,,,130,,,130,,,130,,,130,,,130,,,130,,,130
acord,kl.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cassava starch ,kl,0,,0,,,0,5,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Glutinous rice 500grms,bag,6,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6
Rice flour 500grms,bag,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
All purpose cream ,250g,40,16,24,,14,10,48,14,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44,,,44
Birch tree 1.4kg,pack,0,,0,1,,1,1,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Presto biscuit ,pack,0,,0,2,,2,1,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3
spaghetti sauce 1kg.,pack,0,,0,3,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3
tomato sauce 1kgn,pack,0,,0,2,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Calumet 1kg.,pack,5,1,4,,1,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3
Nescafe 185g.,pack,0,,0,3,2,1,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
tuna ,can,0,,0,4,,4,,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
